L1 Questions:
5. 展示陆地面积大于400000水面积大于500失业人数大于500000且男性人口大于700000且女性人口大于10000000的美国大州和福建省二者的面积（states-LAND_KM_gt_400000_and_WATER_KM_gt_500_an_ac9722ac_measured,ne_10m_admin_1_states_provinces-name_zh_like_pct福建pct_or_name_like_pctFujianpct_measured或states-LAND_KM_gt_400000_and_WATER_KM_gt_500_an_ac9722ac_measured,ne_10m_admin_1_states_provinces-name_zh_eq_福建省_measured或states-LAND_KM_gt_400000_and_WATER_KM_gt_500_an_ac9722ac_measured,ne_10m_admin_1_states_provinces-name_zh_like_pct福建pct_measured或states-LAND_KM_gt_400000_and_WATER_KM_gt_500_an_ac9722ac_measured,ne_10m_admin_1_states_provinces-name_zh_eq_福建省_or_name_eq_Fujian_measured）（gakvvvvvfkvfaaSH）
6. 展示卡维尔盐漠到福建省的距离（ne_10m_playas-name_zh_eq_卡维尔盐漠_to_ne_10m_admin_1_states_provinces-name_zh_like_pct福建pct_or_name_like_pctFujianpct_lines或ne_10m_admin_1_states_provinces-name_zh_eq_福建省,ne_10m_playas-name_zh_eq_卡维尔盐漠_to_ne_10m_admin_1_states_provinces-name_zh_eq_福建省_lines或ne_10m_playas-name_eq_Dasht-e_Kavir_to_ne_10m_admin_1_states_provinces-name_like_pctFujianpct_or_name_zh_like_pct福建pct_lines）（gkvfkvfdSH）
7. 展示中国的港口（ne_10m_ports-INTERSECTS_the_geom_querySingle_世界国家_the_6362db15或ne_10m_ports与世界国家-NAME_eq_CHINA交集结果）（gkvfoSH）
8. 展示UNITED STATES的盐漠（ne_10m_playas与世界国家-NAME_like_pctUNITEDpct_or_NAME_like_pctU_fbbb5d9d交集结果或ne_10m_playas与世界国家-NAME_eq_UNITED_STATES_or_NAME_eq_UNITED__bd3b7dfe交集结果或ne_10m_playas与世界国家-NAME_like_pctUNITED_STATESpct_or_NAME_li_bf677b61交集结果或ne_10m_playas与世界国家-NAME_eq_UNITED_STATES交集结果）（gkvfoSH）
9. 展示中国以外网站为空的港口（ne_10m_ports-website_isnull_or_website_eq与世界国家-NAME_eq_CHINA差集结果或ne_10m_ports-website_isnull与世界国家-NAME_eq_CHINA差集结果）（gkvfkvfoSH）
10. 展示中国以外的秩为9且国家级别比例尺为5且种类为2的铁路（ne_10m_railroads-scalerank_eq_9_and_natlscale_eq_5_and_ca_c5166184与世界国家-NAME_eq_CHINA差集结果）（gkvfkvvvfoSH）
11. 展示中国以外长度110km到120km之间的道路（ne_10m_roads-length_km_btwn_110_and_120_and_DISJOINT__9135d697或ne_10m_roads-length_km_btwn_110_and_120与世界国家-NAME_eq_CHINA差集结果）（gkvfkvfoSH）
12. 展示中国以外的湖泊（ne_10m_lakes-DISJOINT_the_geom_querySingle_世界国家_the_g_d92810cc或世界国家-NAME_eq_CHINA,ne_10m_lakes与世界国家-NAME_eq_CHINA差集结果）（gkvfoSH）
13. 展示塔斯马尼亚城市30公里内的飞机场（ne_10m_airports与tasmania_cities-CITY_NAME_eq_Hobart30kilometers缓冲区交集结果或tasmania_cities30.0kilometers缓冲区,ne_10m_airports与tasmania_cities30.0kilometers缓冲区交集结果）（gboSH）
14. 展示中国港口35公里内长度大于等于100km道路（ne_10m_roads-length_km_gte_100与世界国家-NAME_eq_CHINA交集结果与ne_10m_ports与世界国家-NAME_eq_CHINA交集结果35kilometers缓冲区交集结果或ne_10m_roads-length_km_gte_100与ne_10m_ports与世界国家-NAME_eq_CHINA交集结果35kilometers缓冲区交集结果或ne_10m_ports与世界国家-NAME_eq_CHINA交集结果35kilometers缓冲区,ne_10m_roads-continent_eq_Asia_and_length_km_gte_100与ne_10m_ports与世界国家-NAME_eq_CHINA交集结果35kilometers缓冲区交集结果）（gkvfobkvfoSH）
15. 展示UNITED STATES中名字为A开头且秩大于5且网站为空的港口周围200公里内人口在376558到1463000之间的城市（ne_10m_populated_places-POP_MAX_btwn_376558_and_1463000与世界国家-NAME_eq_UNITED_STATES交集结果与ne_10m_ports-name_like_Apct_and_scalerank_gt_5_and_we_c067cac4与世界国家-NAME_eq_UNITED_STATES交集结果200kilometers缓冲区交集结果或ne_10m_populated_places-POP_MAX_btwn_376558_and_1463000与ne_10m_ports-name_like_Apct_and_scalerank_gt_5_and_we_c067cac4与世界国家-NAME_eq_UNITED_STATES交集结果200kilometers缓冲区交集结果或ne_10m_populated_places-POP_MAX_btwn_376558_and_1463000与ne_10m_ports-name_like_Apct_and_scalerank_gt_5_and_we_b2ffe86e与世界国家-NAME_eq_United_States_or_NAME_eq_UNITED__97b523cc交集结果200kilometers缓冲区交集结果或ne_10m_populated_places-SOV0NAME_eq_United_States_or_SOV0NAME_eq_04c75a95与ne_10m_ports-name_like_Apct_and_scalerank_gt_5_and_we_c067cac4与世界国家-NAME_eq_UNITED_STATES交集结果200kilometers缓冲区交集结果）（gkvfkvvvfobkvfoSH）
16. 展示加拿大秩低于3的湖泊7公里之外庇护所不为1个且为学校站的公交站点（Bus_Stops-NUM_SHELTE_neq_1_and_STOP_TYPE_eq_SCH与世界国家-NAME_eq_CANADA与ne_10m_lakes-scalerank_lt_3交集结果7000meters缓冲区差集结果或ne_10m_lakes-scalerank_lt_3与世界国家-NAME_eq_CANADA交集结果7000meters缓冲区,Bus_Stops-STOP_TYPE_eq_SCH_and_NUM_SHELTE_neq_1与ne_10m_lakes-scalerank_lt_3与世界国家-NAME_eq_CANADA交集结果7000meters缓冲区差集结果）（gkvfkvfobkvvfoSH）
17. 展示瑞典秩为7的铁路20公里之外秩大于4不为8且定位位置在航站楼的飞机场（ne_10m_airports-scalerank_gt_4_and_scalerank_neq_8_and_l_cf1c76cd与ne_10m_railroads-scalerank_eq_7_and_INTERSECTS_the_geom_q_00b69cd920kilometers缓冲区差集结果）（gkvfkvfobkvvfoSH）
18. 展示中国秩为4的飞机场20公里之外最大人口在376558到1463000之间的城市（gkvfkvfobkvfoSH）
19. 展示美国加州秩为4的飞机场20公里之外秩等于5且网站为空的港口（ne_10m_ports-scalerank_eq_5_and_website_isnull_or_website_eq与ne_10m_airports-scalerank_eq_4与ne_10m_admin_1_states_provinces-name_eq_California交集结果20kilometers缓冲区差集结果或ne_10m_ports-scalerank_eq_5_and_website_isnull与ne_10m_airports-scalerank_eq_4与ne_10m_admin_1_states_provinces-postal_eq_CA交集结果20kilometers缓冲区差集结果）（gkvfkvfobkvvfoSH）
20. 展示美国德州秩为7的飞机场100公里之外定位位置在跑道的飞机场（ne_10m_airports-location_eq_runway与ne_10m_airports-scalerank_eq_7与ne_10m_admin_1_states_provinces-name_eq_Texas交集结果100kilometers缓冲区差集结果或ne_10m_airports-location_eq_runway与ne_10m_airports-scalerank_eq_7与ne_10m_admin_1_states_provinces-name_eq_Texas_or_name_eq_TX_or_postal_eq_TX交集结果100kilometers缓冲区差集结果或ne_10m_airports-location_eq_runway与ne_10m_airports-scalerank_eq_7与ne_10m_admin_1_states_provinces-admin_eq_United_States_of_America_and_na_6d5b7d76交集结果100kilometers缓冲区差集结果）（gkvfkvfobkvfoSH）

